"","Date","spx","dax","ftse","nikkei"
"231","1994-11-24",449.929992675781,2058.7900390625,3036.60009765625,18701.240234375
"232","1994-11-25",452.290008544922,2056.27001953125,3033.5,18666.9296875
"233","1994-11-28",454.160003662109,2050.82006835938,3047.10009765625,18811.359375
"234","1994-11-29",455.170013427734,2036.23999023438,3061.10009765625,18926.490234375
"235","1994-11-30",453.690002441406,2057.28002929688,3081.39990234375,19075.619140625
"236","1994-12-01",448.920013427734,2045.5400390625,3039.60009765625,19013.599609375
"237","1994-12-02",453.299987792969,2042.38000488281,3017.30004882812,18998.30078125
"238","1994-12-05",453.320007324219,2067.26000976562,3033.5,19305.66015625
"239","1994-12-06",453.109985351562,2046.98999023438,3016.10009765625,19340.470703125
"240","1994-12-07",451.230010986328,2044.0400390625,3012.5,19174.23046875
"241","1994-12-08",445.450012207031,2041.84997558594,3013.80004882812,19180.0390625
"242","1994-12-09",446.959991455078,2024.18994140625,2977.30004882812,18978.30078125
"243","1994-12-12",449.470001220703,2003.64001464844,2943.39990234375,18975.099609375
"244","1994-12-13",450.149993896484,2019.13000488281,2946.39990234375,18875.48046875
"245","1994-12-14",454.970001220703,2040.93994140625,2980.60009765625,18931.490234375
"246","1994-12-15",455.339996337891,2054.22998046875,2973.39990234375,19121.119140625
"247","1994-12-16",458.799987792969,2069.89990234375,3013.60009765625,19163.4296875
"248","1994-12-19",457.910003662109,2066.59008789062,3034.39990234375,19270.849609375
"249","1994-12-20",457.100006103516,2080.15991210938,3058.10009765625,19406.98046875
"250","1994-12-21",459.609985351562,2095.5,3070.39990234375,19340.669921875
"251","1994-12-22",459.679992675781,2102.25,3091.69995117188,19633.529296875
"252","1994-12-23",459.829986572266,2100.97998046875,3083.39990234375,19633.529296875
"253","1994-12-26",459.829986572266,2100.97998046875,3083.39990234375,19726.75
"254","1994-12-27",462.470001220703,2110.77001953125,3083.39990234375,19711.359375
"255","1994-12-28",460.859985351562,2097.34008789062,3095.80004882812,19665.529296875
"256","1994-12-29",461.170013427734,2074.67993164062,3065.60009765625,19752.98046875
"257","1994-12-30",459.269989013672,2097.51000976562,3065.5,19723.060546875
"258","1995-01-02",459.269989013672,2079.18994140625,3065.5,19723.060546875
"259","1995-01-03",459.109985351562,2068.919921875,3065.69995117188,19723.060546875
